census_block_group,amount_land,amount_water,latitude,longitude
170313012001,255138,0,41.8492295,-87.6903803
170450703002,3231397,888,39.6282891,-87.6903601
170312428001,439630,0,41.892632,-87.6903237
170318309002,156388,0,41.9266238,-87.690237
170318309003,170940,0,41.9302397,-87.6901931
170310503001,125308,0,41.9591072,-87.6901232
170310407001,84600,0,41.9667253,-87.6900706
170318255034,725543,0,41.5674463,-87.6900214
170318243001,1676674,0,41.6423977,-87.6899813
170318324002,161373,0,41.915762,-87.6898082
170312406001,165380,0,41.9121341,-87.6897111
170318255032,474869,0,41.5743974,-87.6895339
170318095001,299008,0,42.0496979,-87.6895189
170312425001,165238,0,41.9011725,-87.6894448
170318351002,164221,0,41.7905764,-87.689443
170450704003,403204,0,39.609342,-87.6894162
170318350005,123309,0,41.7846514,-87.6892781
170317504003,214077,0,41.6854103,-87.68925
170317503003,246612,0,41.6953583,-87.6892477
170318350004,123022,0,41.7810024,-87.6891821
170317005016,238102,0,41.743471,-87.6891796
170312425002,144576,0,41.8974716,-87.6891755
170317204002,329613,0,41.7099686,-87.6891562
170316606002,124135,0,41.777341,-87.6890862
170316608002,122095,0,41.7736968,-87.6889822
170312808001,237357,0,41.8785967,-87.6889009
170312827002,230737,0,41.8735998,-87.6887636
170312215001,144694,0,41.9208728,-87.6887198
170312827001,208561,0,41.8688963,-87.6885901
170312411001,165609,0,41.9066547,-87.6883533
170318351003,144006,0,41.7874071,-87.6881268
170310205002,76732,0,41.9989011,-87.6880948
170318093003,393740,0,42.0556759,-87.6880242
170318234002,336706,0,41.6642627,-87.6879301
170310209013,163364,0,41.9936859,-87.6879109
170315807003,121345,0,41.8156477,-87.6877138
170318013001,563168,0,42.0726765,-87.6877042
170318102005,144464,0,42.025075,-87.6876904
170318102006,191915,0,42.021461,-87.6875076
170310201001,227938,0,42.0143097,-87.6874996
170310404011,98916,0,41.9738388,-87.6874306
170310404012,101824,0,41.9706381,-87.6873913
170318248001,1359682,0,41.6341282,-87.6872929
170318437002,265283,22015,41.9373047,-87.6871846
170318304003,1310840,0,41.4725996,-87.6871583
170318234001,249179,0,41.6715547,-87.6871304
170318101004,165045,0,42.0293086,-87.6870879
170316610004,184610,0,41.7625241,-87.6870495
170318302021,2511484,25898,41.4939957,-87.6870346
170318101005,172535,0,42.0324173,-87.6870312
170318098001,214685,0,42.0394704,-87.686854
170315807002,306861,0,41.8198473,-87.6867271
170318298001,1602668,0,41.551841,-87.6866656
170315808001,183294,0,41.8102197,-87.6866436
170310201002,183216,0,42.0174768,-87.6866409
170318095002,192467,0,42.0456402,-87.6866335
170316305001,164792,0,41.7992903,-87.6866244
170318378001,670578,0,41.8846418,-87.686594
170310505001,122407,0,41.9522287,-87.6865936
170318216001,1079108,0,41.7285908,-87.6865654
170310204001,157058,0,42.0110969,-87.6865581
170316305002,164355,0,41.7956467,-87.6865285
170310505005,122283,0,41.9485816,-87.6864899
170318255035,1068549,12926,41.5630635,-87.686362
170312216002,157541,0,41.9212278,-87.6863531
170315807001,121910,0,41.8134059,-87.6862811
170318095003,214994,0,42.0426756,-87.6862171
170318093001,414494,0,42.0610648,-87.6861276
170318219001,498812,0,41.7166609,-87.68606
170310406003,127000,0,41.9675425,-87.6859481
170310204002,212456,0,42.0085918,-87.6859123
170312412002,164243,0,41.9066863,-87.6859039
170317005011,308595,0,41.7473238,-87.685839
170316609001,164627,0,41.7701169,-87.6858382
170318298005,1016796,0,41.5390476,-87.6858186
170310502001,122297,0,41.9598335,-87.6858055
170318413002,472518,20929,41.8457004,-87.6857855
170310509001,162724,0,41.9449466,-87.685778
170318403001,291922,0,41.829451,-87.6857636
170316609002,164402,0,41.7664769,-87.6857394
170310510001,166636,0,41.9413024,-87.6857317
170318234003,367479,0,41.6549242,-87.6857129
170310502003,244222,0,41.9561907,-87.6856973
170310401003,155015,0,41.9776445,-87.6855899
170310209011,163773,0,41.9964361,-87.6855555
170310209012,156958,2818,41.992231,-87.6855458
170318350002,123704,0,41.781056,-87.6855223
170312222002,113120,0,41.9155074,-87.6854856
170317504001,535151,0,41.688671,-87.6854401
170316606001,123039,0,41.7774096,-87.6854246
170310404013,67240,0,41.9745775,-87.6853888
170310204003,186063,0,42.0061672,-87.6853658
170316608001,123234,0,41.7737685,-87.6853275
170312809001,114688,0,41.8786261,-87.6851324
170310205004,50815,0,41.9989455,-87.6850417
170318301001,1035861,0,41.5031594,-87.6850215
170316610003,180774,0,41.7601765,-87.6849534
170312828001,164409,0,41.8702682,-87.6849136
170318309001,663140,47216,41.9284245,-87.6849065
170318303002,818984,0,41.4821159,-87.684837
170318012003,1041724,3492924,42.0788722,-87.68483
170318098002,383089,0,42.036441,-87.6847396
170318412002,397194,0,41.8560899,-87.6847313
170310406002,108779,0,41.9657727,-87.6847285
170312424001,164031,0,41.9012409,-87.6845374
170310205003,505824,0,42.0025423,-87.6845206
170318298004,1344982,0,41.5318227,-87.6845158
170317205002,393785,0,41.7024446,-87.6844742
170312424002,164021,0,41.8976028,-87.6844426
170317503001,207585,0,41.6972351,-87.6844064
170317005021,1122348,0,41.7391666,-87.6843649
170312429001,164112,0,41.8939658,-87.6843433
170317503002,207566,0,41.6935858,-87.6842853
170312429002,159707,0,41.8903764,-87.6842345
170310404014,117816,0,41.9703805,-87.6842125
170317204001,333671,0,41.7100148,-87.6842114
170318093002,209467,0,42.0560714,-87.6842049
170312216001,170014,0,41.9212619,-87.683935
170338806003,46268817,0,38.8788556,-87.6839026
170318255031,1368818,23233,41.5816621,-87.6838642
170310409002,162791,0,41.9622947,-87.6838589
170310409001,159063,0,41.9640955,-87.6838498
170318248002,770988,0,41.6271843,-87.6838333
170318256001,2274838,0,41.5923948,-87.6836855
170312405001,233490,0,41.9119698,-87.6836341
170318300052,3723683,0,41.5156022,-87.6835251
170312412001,163876,0,41.9067278,-87.6834649
170318235003,268140,0,41.661999,-87.6834522
170318235004,268970,0,41.6578827,-87.6834146
170318101003,171117,0,42.0275584,-87.6833879
170318094003,252207,0,42.0494864,-87.6832675
170318413003,155088,0,41.846697,-87.6831896
170318351001,552167,0,41.7906721,-87.6831633
170318235001,329960,0,41.6736143,-87.6830292
170310401001,1673698,29163,41.9854807,-87.6829955
170318235002,245706,0,41.6672332,-87.6828229
170318102004,195796,0,42.0244103,-87.6828084
170317504002,246331,0,41.6808926,-87.6826537
170318102003,107520,0,42.0208211,-87.6826213
170318350001,469860,0,41.7833562,-87.6823444
170312222001,117954,0,41.9162952,-87.6822347
170450703003,1139659,0,39.6200836,-87.6822095
170318298002,606599,0,41.5478284,-87.6821171
170318101001,86100,0,42.0328114,-87.6820016
170310102011,95922,0,42.0141744,-87.6819764
170318413004,615455,47837,41.8423732,-87.6817924
170310505002,204061,0,41.9522956,-87.6817371
170318101002,128982,0,42.0301694,-87.6816704
170316301001,508072,0,41.7992714,-87.6816688
170310505003,101932,0,41.9495582,-87.681662
170310505004,101895,0,41.9477346,-87.6816112
170310404024,102563,0,41.9713153,-87.6815448
170316607002,221519,0,41.7709467,-87.6811866
170318403003,227007,0,41.8321517,-87.6811672
170310514002,183281,12601,41.9336703,-87.6811406
170310502002,285734,0,41.9581693,-87.68113
170318412003,120219,0,41.8558545,-87.6810593
170316610001,220710,0,41.7657627,-87.6810586
170312413001,164087,0,41.9067716,-87.681025
170316607001,259162,0,41.7763227,-87.6810176
170310404022,161627,0,41.974586,-87.6809973
170310508001,162818,0,41.9450095,-87.6809279
170310102012,259326,0,42.0174478,-87.6809059
170318380001,227731,0,41.879322,-87.6808539
170310511001,162702,0,41.9413652,-87.6808266
170318412001,107994,0,41.8532938,-87.6807733
170318094002,201597,0,42.0441776,-87.6807726
170310514001,163002,0,41.9377203,-87.6807253
170316610002,247947,0,41.7603934,-87.6807133
170310406001,95480,0,41.9670999,-87.6806413
170310209022,130485,0,41.9922618,-87.6805516
170310205001,138285,0,41.9990239,-87.6805469
170318380002,310495,0,41.8759317,-87.6805048
170315905001,572319,24222,41.8248983,-87.6804757
170318413001,102303,0,41.8509247,-87.680464
170317005012,309291,0,41.7464677,-87.6804604
170318322001,166318,0,41.9231965,-87.6803034
170318322002,164298,0,41.9195299,-87.6801326
170318303004,526605,0,41.4902457,-87.6801292
170310401002,143799,0,41.9769701,-87.6800008
170312430002,226038,0,41.891651,-87.6799145
170312423001,163982,0,41.9013284,-87.67965
170312423002,164334,0,41.8976885,-87.6795508
170318310001,120557,0,41.9131769,-87.6794749
170318382001,388618,0,41.8715694,-87.6794415
170316115002,401494,0,41.8052029,-87.6792606
170318303003,590134,0,41.4778713,-87.6792547
170318087021,219106,0,42.0515852,-87.6792233
170318378002,334849,0,41.8849669,-87.679186
170318102001,111393,0,42.0240289,-87.679106
170316103003,1256242,0,41.8149596,-87.6791058
