Metric,Zipcode,Last_10_Febr,First_10_March,Middle_10_March,Last_10_March
Perc_time,60478,74.5,76.9,84.1,98.6
Perc_time,60804,75.5,75.9,82.8,98.6
Perc_time,60525,71.5,71.3,84.3,98.7
Perc_time,60651,75.9,75.6,83.1,98.7
Perc_time,60803,72.9,74.7,82.8,98.7
Perc_time,60619,74.7,75.4,82.9,98.7
Perc_time,60402,73.5,73.8,81.7,98.7
Perc_time,60639,74.2,74.3,83,98.8
Perc_time,60120,75.7,75,83.3,98.8
Perc_time,60457,74.8,75.6,84,98.8
Perc_time,60620,75,76.6,85.6,98.8
Perc_time,60164,73,73.9,82.4,98.8
Perc_time,60452,73.5,73.9,83,98.9
Perc_time,60104,72.5,72,81.5,98.9
Perc_time,60461,74.2,78.1,88,98.9
Perc_time,60465,75,76.1,83.3,98.9
Perc_time,60425,76.7,77.5,85.8,98.9
Perc_time,60171,73.2,72.5,80.6,99
Perc_time,60429,77,78.7,86.2,99
Perc_time,60605,67.7,69.5,82.3,99
Perc_time,60090,73.4,72.9,84.2,99
Perc_time,60430,74.8,74.6,84.7,99
Perc_time,60005,72.7,71.6,82.9,99.1
Perc_time,60415,76.4,77.3,85.8,99.1
Perc_time,60118,70.1,70.2,80.6,99.1
Perc_time,60439,73.4,73,84.3,99.1
Perc_time,60453,74.5,75.4,85.9,99.1
Perc_time,60443,73.6,73.5,82.7,99.1
Perc_time,60655,75.7,74.1,83.7,99.2
Perc_time,60070,74.5,73.8,84.8,99.2
Perc_time,60074,72.7,74.7,84.3,99.2
Perc_time,60107,75.9,75.6,85.3,99.2
Perc_time,60456,74.5,75.2,83.2,99.2
Perc_time,60527,73.3,73.5,85.2,99.2
Perc_time,60638,72.7,73,82.8,99.2
Perc_time,60805,73.4,74.3,85.7,99.2
Perc_time,60463,71.5,73.9,82.2,99.2
Perc_time,60102,74.1,72,84.1,99.2
Perc_time,60706,74.4,72.6,83.5,99.3
Perc_time,60194,74.4,72.3,82.5,99.3
Perc_time,60609,77.1,78.2,86.6,99.3
Perc_time,60133,75.1,73.8,83.9,99.3
Perc_time,60466,78.1,79.1,86.3,99.3
Perc_time,60467,73,73.7,83.8,99.3
Perc_time,60089,72.6,73.3,83.9,99.4
Perc_time,60656,73.2,73.2,81.7,99.4
Perc_time,60173,74.6,74.1,84.3,99.4
Perc_time,60477,75.7,76.1,84.6,99.4
Perc_time,60526,72.1,72.4,83.8,99.4
Perc_time,60305,76.2,73.9,84.6,99.4
Perc_time,60487,74.8,73.4,84.2,99.4
Perc_time,60523,73.6,72.4,85.4,99.4
