Date,Percentage Covid,Polarity Score
2020-1-1,0,0.0979297314775922
2020-1-2,0,0.07929038661451396
2020-1-3,0,0.08069358145499793
2020-1-4,0,0.06928676351252658
2020-1-5,0,0.04733324525957864
2020-1-6,0,0.0910268219731449
2020-1-7,0,0.08632314958507249
2020-1-8,0,0.08153999463208982
2020-1-9,0,0.047395221382327185
2020-1-10,0,0.09459765194614458
2020-1-11,0,0.09892399459706454
2020-1-12,0,0.1072498676988375
2020-1-13,0,0.07000563978952258
2020-1-14,0,0.09923328188060772
2020-1-15,0,0.07136977334339123
2020-1-16,0,0.06700388235903784
2020-1-17,0,0.09021798445550978
2020-1-18,0,0.09833551931627718
2020-1-19,0,0.1127699696797096
2020-1-20,0,0.08553127839971052
2020-1-21,0,0.08654189998391641
2020-1-22,0,0.09824634726032527
2020-1-23,0.034482758620689655,0.09855793882249575
2020-1-24,0,0.07218595109327863
2020-1-25,0,0.0833012437315044
2020-1-26,0.038461538461538464,0.14186456770660313
2020-1-27,0,0.052221850671953965
2020-1-28,0,0.10587324081941135
2020-1-29,0.06666666666666667,0.054688989712752246
2020-1-30,0.1,0.055498394791848406
2020-1-31,0,0.07045376185760346
2020-2-1,0,0.12581549777562667
2020-2-2,0,0.10759733934023481
2020-2-3,0,0.0748686780651434
2020-2-4,0.10344827586206896,0.07266293142377972
2020-2-5,0,0.08501694330872113
2020-2-6,0,0.06399471359081044
2020-2-7,0.06896551724137931,0.06336044854682187
2020-2-8,0,0.0822631144066978
2020-2-9,0,0.08673597247520166
2020-2-10,0.03333333333333333,0.0679453648954368
2020-2-11,0.034482758620689655,0.10734783877420394
2020-2-12,0,0.1153836582502334
2020-2-13,0.10344827586206896,0.10734927274589834
2020-2-14,0.06666666666666667,0.07972111247365705
2020-2-15,0.03571428571428571,0.12030844824353691
2020-2-16,0,0.09598924311342917
2020-2-17,0.034482758620689655,0.05129929524205783
2020-2-18,0.06896551724137931,0.07360129085302114
2020-2-19,0,0.06627582944411776
2020-2-20,0,0.09230260705781593
2020-2-21,0.034482758620689655,0.09802002733925505
2020-2-22,0.034482758620689655,0.11975687074275145
2020-2-23,0,0.10090723283529257
2020-2-24,0.1,0.07649757072913577
2020-2-25,0.10344827586206896,0.09176411200167504
2020-2-26,0.03333333333333333,0.06710140901548682
2020-2-27,0.16666666666666666,0.06953377985291592
2020-2-28,0.13333333333333333,0.10945860103331931
2020-2-29,0.07142857142857142,0.07946521442464674
2020-3-1,0.07692307692307693,0.09602568229533588
2020-3-2,0.25,0.12284479575825749
2020-3-3,0.23333333333333334,0.07339463681943031
2020-3-4,0.20689655172413793,0.07863564608570574
2020-3-5,0.20689655172413793,0.07610312128844766
2020-3-6,0.2,0.0559846487069732
2020-3-7,0.06666666666666667,0.06655706567639785
2020-3-8,0.08333333333333333,0.08838412917992354
2020-3-9,0.27586206896551724,0.06417793867402405
2020-3-10,0.5333333333333333,0.08427616811795215
2020-3-11,0.5862068965517241,0.05308412363554909
2020-3-12,0.9310344827586207,0.07252915618938459
2020-3-13,0.7241379310344828,0.08342153608627664
2020-3-14,0.6428571428571429,0.07932473192506995
2020-3-15,0.6296296296296297,0.09121356636042391
2020-3-16,0.8333333333333334,0.08614605954435822
2020-3-17,0.5517241379310345,0.09331608364589494
2020-3-18,0.6896551724137931,0.0846063627271591
2020-3-19,0.5517241379310345,0.069531822924534
2020-3-20,0.9,0.10132098271454111
2020-3-21,0.6896551724137931,0.09682365443656855
2020-3-22,0.6666666666666666,0.08382514748052806
2020-3-23,0.9,0.07448060840120517
2020-3-24,0.8333333333333334,0.1115198723029753
2020-3-25,0.7333333333333333,0.07165588794702873
2020-3-26,0.9310344827586207,0.10477785424848728
2020-3-27,0.8333333333333334,0.07326989118406843
2020-3-28,0.7037037037037037,0.13344041311824995
2020-3-29,0.7241379310344828,0.09512422076723409
2020-3-30,0.8928571428571429,0.09819166571198303
2020-3-31,0.9310344827586207,0.07829349747296593
2020-4-1,0.8333333333333334,0.06525869247879595
2020-4-2,0.8666666666666667,0.09477259850733631
2020-4-3,0.7,0.07408284330849206
2020-4-4,0.7037037037037037,0.11433711852928116
2020-4-5,0.75,0.0984972121397278
2020-4-6,0.7666666666666667,0.09644730224838773
2020-4-7,0.6206896551724138,0.09734918111450869
2020-4-8,0.7241379310344828,0.09343477691174351
2020-4-9,0.8,0.08495322233294172
2020-4-10,0.8571428571428571,0.09367695361022285
2020-4-11,0.6071428571428571,0.08695598031999366
2020-4-12,0.4642857142857143,0.08484613325399702
2020-4-13,0.8,0.08637064403250154
2020-4-14,0.6785714285714286,0.08261226897459907
2020-4-15,0.6333333333333333,0.08076359523877029
2020-4-16,0.7931034482758621,0.0870555562439165
2020-4-17,0.8214285714285714,0.09162541820707545
2020-4-18,0.4444444444444444,0.0751281801953899
2020-4-19,0.5555555555555556,0.07826282864171226
2020-4-20,0.6296296296296297,0.06342399906529665
2020-4-21,0.5,0.07620192061289416
2020-4-22,0.5333333333333333,0.09793110346014801
2020-4-23,0.6785714285714286,0.0931735449787209
2020-4-24,0.6,0.0853137466511752
2020-4-25,0.43333333333333335,0.08771908112420324
2020-4-26,0.5172413793103449,0.0884419284330936
2020-4-27,0.5862068965517241,0.09419704341079038
2020-4-28,0.7333333333333333,0.10080909570459758
2020-4-29,0.6666666666666666,0.11811742978033113
2020-4-30,0.7931034482758621,0.08373607890480662
